OPSKU,Part No,Product,Starting Inventory,Ending Inventory,SoldQty,SubTotal,Tax,ShipCost,ProductCost,Total,Discount,SubtotalAfterDiscount
88882214-0042,0042,2015 Estate Blend Pinot Noir,206,126,8,400,0,80,120,465,-15,385
88882214-0044,0044,2015 Steve's Reserve Pinot Noir,156,120,2,120,0,0,30,90,-30,90
88882214-0127,0127,2016 Laurelwood Blend Pinot Noir,3070,744,97,3492,11.47,227.38,1455,3234.05,-496.8,2995.2
88882214-0129,0129,2016 Estate Blend Pinot Noir,3374,262,48,2400,126.57,152.71,720,2256.78,-422.5,1977.5
88882214-0130,0130,2016 Tuenge Vineyard Pinot Noir,201,112,5,200,3.14,24.66,75,211.8,-16,184
88882214-0131,0131,2016 Tre Figli Vineyard Pinot Noir,219,104,12,480,2.89,56.4,180,479.29,-60,420
88882214-0133,0133,2017 Willamette Valley Pinot Noir,8428,3675,311,7775,77.37,572.19,4665,7075.81,-1348.75,6426.25
88882214-0136,0136,2016 Steve's Reserve Pinot Noir,459,312,11,660,17.77,58.95,165,628.72,-108,552
88882214-0138,0138,2016 Winemaker's Reserve Pinot Noir,921,254,23,1380,14.29,58.04,345,1017.33,-435,945
88882214-0203,0203,2017 Estate Blend Pinot Noir,8208,6735,10,500,6.75,35.67,150,444.92,-97.5,402.5
88882214-0207,0207,2017 Hendricks Legacy Pinot Noir,3022,1682,25,1000,7.63,98.2,375,1005.83,-100,900
88882214-0247,0247,2018 Pinot Gris,210,23,28,504,0,55.42,0,509.02,-50.4,453.6
88882214-0254,0254,2017 Steve's Reserve Pinot Noir,2158,1195,3,180,0,0,45,150,-30,150
88882214-0265,0265,"3 Pack - red, white & sparkling",0,-4,4,311.85,0,56,0,318.18,-49.67,262.18
88882214-0270,0270,Holiday Special - 6pk,0,0,3,450,0,20,0,357.5,-112.5,337.5
88882214-0271,0271,Holiday Special - Case,0,0,1,300,0,0,0,225,-75,225
88882214-0300,0300,2017 Chardonnay,4682,3570,47,1645,0,90.41,0,1394.16,-341.25,1303.75
88882214-0301,0301,3 Pack - 2017 Laurelwood Pinot Noir,0,0,14,1274,0,71.3,0,1195.15,-150.15,1123.85
88882214-0302,0302,2018 Chardonnay Reserve,444,1416,6,270,0,0,0,202.5,-67.5,202.5
88882214-0313,0313,Holiday Special - 3pk,0,-5,3,225,0,0,0,195,-30,195
88882214-0329,0329,3 Pack - Tre Figli Vineyard Pinot Noir,491,0,7,693,0,48,0,666.75,-74.25,618.75
88882214-0330,0330,2019 Pinot Gris,0,848,146,3212,0,153.71,0,2740.91,-624.8,2587.2
88882214-0331,0331,2019 Rosé of Pinot Noir,0,503,138,3036,0,200.86,1380,2899.16,-337.7,2698.3
88882214-0332,0332,2019 Chardonnay Petillant,0,882,62,1798,0,69.45,0,1573.1,-294.35,1503.65
88882214-0333,0333,2019 Ruby Waves Sparkling Rose,0,640,196,5684,0,318.49,0,5123.79,-878.7,4805.3
88882214-0334,0334,6 Pack - 2017 Laurelwood Pinot Noir,0,0,11,1955,0,75.97,0,1829.42,-201.55,1753.45
88882214-0335,0335,12 Pack - 2017 Laurelwood Pinot Noir,0,2,9,3060,0,9.09,0,2307.69,-761.4,2298.6
88882214-0336,0336,Valentine's Day 6-pack,0,0,2,900,0,40,0,805,-135,765
88882214-0337,0337,6 Pack - 2016 Estate Pinot Noir,0,0,4,960,0,20,0,824,-156,804
88882214-0338,0338,3 Pack - 2016 Estate Pinot Noir,0,0,10,1280,0,121.34,0,1234.94,-166.4,1113.6
88882214-0339,0339,3 Pack - Chardonnay Bubbles,0,459,25,1602,0,165.09,0,1606.74,-160.35,1441.65
88882214-0340,0340,6 Pack - Chardonnay Bubbles,0,482,10,1244,0,6.67,0,1055.67,-195,1049
88882214-0341,0341,12 Pack - Spring Whites,0,486,6,1314,0,0,0,1095,-219,1095
88882214-0342,0342,2017 Willamette Valley Pinot Noir PICK UP,0,0,1,1,0,0,15,1,0,1
88882214-0346,0346,6 Pack - 2020 Mystery Whites & Rosé,0,0,10,1250,0,82.5,0,1138.75,-193.75,1056.25
88882214-0347,0347,6 Pack - Summer Reds,0,-18,13,1820,0,37.5,0,1542.5,-315,1505
88882214-0353,0353,3 Pack - Father's Day Special,0,-5,3,382.5,0,10,0,360.62,-31.88,350.62
88882214-0357,0357,6 Pack - 2020 International Rosé  Day Special,0,0,11,1429.89,0,59,0,1222.39,-266.5,1163.39
88882214-0362,0362,2 Pack - 2016 Steve's & Flora's Reserves,0,0,1,160,0,0,0,136,-24,136
88882214-0404,0404,3 Pack - Rose' Bubbles,0,0,3,225,0,10,0,205,-30,195
88882214-0405,0405,6 Pack - Rose' Bubbles,0,-3,3,432,0,0,0,345.6,-86.4,345.6
