Order Source,"Row Count by 
Original Order Source",,Qty,Ext Price,Discount,Tasting Credit,Ship Cost,Sales Tax,Revenue,Net Revenue,Gift Card Deposit,Year
Admin Cart,232,,504.00,22003.99,-5974.25,0.00,256.99,73.74,16360.47,16029.74,0.00,2020
Point of Sale,"5,574",,10228.00,384861.94,-80785.79,-250.00,780.78,49.48,304656.41,303826.15,0.00,2020
Web Store,278,,793.00,34396.25,-7378.10,0.00,926.00,69.75,28013.90,27018.15,0.00,2020
Wine Club,"4,217",,4648.00,171870.00,-32776.85,0.00,1420.00,750.29,141263.44,139093.15,0.00,2020
Admin Cart,75,,202.00,8678.00,-1711.80,0.00,40.00,0.00,7006.20,6966.20,0.00,2019
Point of Sale,"3,919",,7940.00,223809.00,-46510.84,-285.00,505.50,84.05,177602.71,177013.16,0.00,2019
Web Store,66,,180.00,6792.00,-1217.95,0.00,127.50,0.00,5701.55,5574.05,0.00,2019
Wine Club,"4,963",,6268.00,224389.00,-45341.95,0.00,1260.00,221.74,180528.79,179047.05,0.00,2019
