Group by Wine Club Name,"Row Count by 
Wine Club Name",,Qty,Ext Price,Discount,Ship Cost,Sales Tax,Revenue,Net Revenue,Year
Ambassadors,605,,792,41703.00,-10425.25,0.00,129.62,31407.37,31277.75,2020
Friends ,"2,448",,"2,398",77703.00,-11683.20,1080.00,448.28,67548.08,66019.80,2020
Neighbors,"1,081",,"1,338",47069.00,-9589.40,260.00,172.39,37911.99,37479.60,2020
Neighbors Red,104,,120,5395.00,-1079.00,80.00,0.00,4396.00,4316.00,2020
[N/A],162,,333,12139.00,-2970.75,20.00,0.00,9188.25,9168.25,2019
Ambassadors,962,,"1,689",81925.00,-20481.25,0.00,80.06,61523.81,61443.75,2019
Friends ,"2,894",,"2,888",87285.00,-13171.35,1060.00,97.59,75271.24,74113.65,2019
Neighbors,890,,"1,298",40670.00,-8244.60,180.00,44.09,32649.49,32425.40,2019
Neighbors Red,55,,60,2370.00,-474.00,0.00,0.00,1896.00,1896.00,2019
